province,year,total_institutions,total_beds,total_doctors,total_nurses
甘肃省,2017,28857,146600,56100,58400
吉林省,2023,26161,183700,92300,107000
河北省,2018,85088,421900,211400,172900
江西省,2019,37029,267100,96400,120400
新疆维吾尔自治区,2021,16970,186100,70600,85400
云南省,2019,25587,311900,114000,158500
陕西省,2022,34779,289600,125600,163100
宁夏回族自治区,2018,4450,41000,19400,23300
浙江省,2017,31979,313500,178700,187700
浙江省,2023,37679,406100,266000,292300
江西省,2017,37791,234000,83600,104100
天津市,2023,6799,72500,56500,52100
河南省,2016,71271,521500,206700,222100
海南省,2014,5075,34500,17600,22400
河南省,2017,71089,559000,220300,241600
海南省,2017,5180,42000,20800,28400
青海省,2022,6376,42900,19000,21500
新疆维吾尔自治区,2020,18158,181500,69300,80700
吉林省,2022,25031,177200,86700,98600
广西壮族自治区,2021,34112,319000,132000,182400
广西壮族自治区,2018,33742,255900,106000,140400
甘肃省,2022,25266,188900,72300,94700
黑龙江省,2014,21229,201300,81400,77700
宁夏回族自治区,2016,4254,36300,17100,18100
吉林省,2020,25616,173100,85100,95400
西藏自治区,2017,6826,16100,7600,4500
山东省,2019,83616,629700,315300,341400
广东省,2019,53900,545200,291100,356300
重庆市,2015,19806,176500,61000,70000
北京市,2021,10699,130300,112500,124100
辽宁省,2023,34137,334200,137900,167900
北京市,2023,11487,138800,121600,134600
辽宁省,2018,36029,314400,120400,134500
云南省,2020,26626,325200,122600,173200
青海省,2017,6375,38300,15500,16500
山西省,2018,42079,208300,99500,103900
浙江省,2019,34119,350200,205500,219800
福建省,2015,27921,173000,78000,90500
四川省,2021,80249,662000,250400,306700
湖南省,2018,56239,482400,180900,184000
青海省,2014,6241,33000,13000,12800
江苏省,2018,33254,491500,233300,260400
西藏自治区,2021,6907,19700,10600,7800
天津市,2015,5223,63700,35900,33800
黑龙江省,2021,20578,260500,96900,107100
河南省,2015,71394,489600,198600,205400
四川省,2015,80109,488800,181500,190600
新疆维吾尔自治区,2018,18450,178900,63300,72300
山东省,2020,84872,646900,329200,355700
新疆维吾尔自治区,2019,18376,186400,67900,77300
江苏省,2021,36448,548600,272700,308700
湖北省,2023,38586,476100,190400,230600
广东省,2017,49874,492100,258000,307700
黑龙江省,2022,20599,261300,98300,110700
黑龙江省,2023,21417,273300,103700,118800
海南省,2022,6384,61200,30600,39300
重庆市,2021,21361,240700,92100,114000
山西省,2023,37849,232300,118400,132700
浙江省,2021,35120,369900,232700,250300
西藏自治区,2016,6835,14500,6500,3800
湖南省,2015,62646,397000,150800,149300
湖北省,2019,35515,403300,153600,194200
湖南省,2021,55677,532700,192500,239200
贵州省,2017,28034,233000,75500,98000
北京市,2022,10897,133900,114800,126100
山东省,2021,85715,673900,342800,376500
山东省,2018,81470,608500,290400,322800
湖南省,2022,55338,544500,198700,244200
山东省,2023,88186,738600,371900,417600
湖南省,2017,58624,452300,173000,172600
甘肃省,2014,27916,122400,47700,45500
北京市,2020,10599,127000,107700,117900
广西壮族自治区,2016,34253,224500,96700,122600
上海市,2022,6404,165300,86000,106400
吉林省,2018,22691,167000,77100,76200
山东省,2014,77012,500600,230900,245700
福建省,2014,28030,164800,75300,85700
河南省,2021,78536,721300,297500,328100
新疆维吾尔自治区,2023,18416,197500,78500,101700
天津市,2014,4990,60900,33300,31600
山东省,2015,77259,519400,237100,254200
陕西省,2015,37030,211900,79500,104300
山西省,2019,42162,218400,105700,109000
江苏省,2023,39536,578800,290100,333400
浙江省,2018,32754,332100,190800,201500
安徽省,2018,24925,328100,126800,149700
江西省,2015,38557,197800,76800,89600
海南省,2018,5325,44800,22300,30000
浙江省,2016,31546,289900,168200,174500
陕西省,2020,34983,272400,113900,155500
宁夏回族自治区,2019,4397,41000,20800,24300
辽宁省,2022,32679,326200,133300,157800
浙江省,2014,30358,245800,145700,145100
四川省,2014,81070,459600,179500,175500
重庆市,2014,18767,160600,58100,62700
广东省,2022,59531,608300,333200,420400
陕西省,2014,37247,199400,76500,97200
湖北省,2020,35447,411400,159700,200000
新疆维吾尔自治区,2014,18873,143000,54800,59800
天津市,2019,5962,68300,46400,41400
辽宁省,2019,34238,313800,123900,139100
河南省,2014,71154,459300,189300,191100
广西壮族自治区,2019,33679,277400,115100,152400
江苏省,2022,37001,563000,279200,318300
贵州省,2018,28066,245600,81500,109100
海南省,2016,5144,40300,19900,26500
陕西省,2018,35300,253700,99000,138000
新疆维吾尔自治区,2017,18724,167600,62300,70600
内蒙古自治区,2017,24218,150300,70300,71900
安徽省,2020,29391,407800,164200,188200
天津市,2016,5443,65800,37800,36100
上海市,2018,5293,139000,71600,88000
甘肃省,2019,26697,181200,62800,79500
北京市,2019,10336,127800,105900,114900
宁夏回族自治区,2017,4271,39800,18200,21600
北京市,2015,9771,111600,85200,94600
福建省,2022,29116,232400,116100,136700
山西省,2022,39661,228400,113400,126200
内蒙古自治区,2016,24002,139200,66400,66400
山东省,2016,76997,541000,244900,268400
贵州省,2019,28511,265000,89800,121400
北京市,2018,10058,123600,99800,107400
山西省,2020,41140,223700,108800,116300
内蒙古自治区,2022,25062,167700,86000,91500
贵州省,2021,29292,296900,105400,141700
广西壮族自治区,2023,34888,362000,145100,200900
重庆市,2020,20922,235500,88700,109400
甘肃省,2023,25375,204000,78000,100400
安徽省,2022,30176,444000,186000,221400
四川省,2023,74975,708600,279400,335500
天津市,2018,5686,68200,43100,39400
辽宁省,2014,35441,255500,101600,105800
宁夏回族自治区,2020,4574,41300,22200,26000
西藏自治区,2023,7058,21600,12300,9800
河南省,2018,71351,608500,235600,263100
内蒙古自治区,2023,25685,173100,92700,101200
上海市,2016,5016,129200,65400,79400
宁夏回族自治区,2023,4863,43500,24300,30000
陕西省,2021,34971,284500,120600,159400
重庆市,2016,19933,190900,64700,77500
甘肃省,2018,27897,162700,59600,64300
北京市,2014,9638,109800,79900,88500
内蒙古自治区,2015,23886,133900,64200,61200
广西壮族自治区,2020,33875,295600,125500,167500
吉林省,2015,20612,144500,67200,60700
安徽省,2017,24491,305700,120800,138100
江西省,2021,36764,307300,111400,139900
广西壮族自治区,2017,34008,241100,101100,131700
云南省,2023,28765,359900,146700,203600
湖北省,2018,36486,393500,152000,190900
四川省,2018,81537,598900,205000,247300
甘肃省,2016,28197,134300,52800,50500
山西省,2016,42204,189700,91700,92100
辽宁省,2016,36131,284400,109800,119100
江西省,2014,38873,186700,74600,84100
云南省,2021,26885,330300,125800,182600
河北省,2021,88162,455000,254200,225000
贵州省,2014,28995,182200,57800,67200
贵州省,2023,30695,315400,126000,163700
广东省,2021,57964,589000,319400,401700
西藏自治区,2014,6795,11900,5600,2700
青海省,2020,6407,41300,18300,19700
上海市,2019,5597,146500,74700,92900
福建省,2019,27788,202200,99500,116200
湖北省,2014,36077,317500,126100,144100
贵州省,2022,29150,309700,109400,147100
云南省,2014,24281,224900,75400,82800
河南省,2019,70734,640100,251400,278900
新疆维吾尔自治区,2022,16999,179600,70600,89000
江苏省,2014,31995,392300,178600,188800
安徽省,2021,29554,411000,172600,201000
江西省,2022,35683,314500,113300,144400
云南省,2022,27528,341200,132400,189900
山西省,2014,40777,177400,89800,79100
内蒙古自治区,2019,24564,161100,78100,80400
黑龙江省,2019,20375,262600,93500,97600
浙江省,2022,35967,381700,246600,267000
四川省,2020,82793,649800,234500,285800
上海市,2015,5016,122800,63000,75400
河北省,2015,78594,342100,166900,132800
湖南省,2016,61055,425800,160600,161500
贵州省,2016,28017,210300,69000,86000
黑龙江省,2017,20283,241700,88500,90400
浙江省,2015,31137,272500,158100,159900
甘肃省,2020,26204,171900,63500,81400
青海省,2016,6291,34700,13700,14400
山东省,2017,79050,584800,264600,293600
福建省,2023,30023,242100,123300,144700
天津市,2021,6076,68700,51800,46800
江苏省,2016,32117,443100,204600,221200
江苏省,2019,34796,516000,254700,279800
青海省,2018,6396,39100,16200,17600
黑龙江省,2016,20375,220100,84400,85400
吉林省,2016,20829,151200,69700,65700
青海省,2015,6223,34500,13800,13200
云南省,2017,24684,274800,93900,128500
上海市,2017,5144,134600,67900,83900
安徽省,2023,31361,453500,200600,241400
江苏省,2020,35747,535000,267800,294200
江苏省,2015,31925,413600,189200,204000
重庆市,2022,22259,250800,94600,117300
河北省,2019,84651,430100,228600,185000
上海市,2014,4984,117500,61200,71900
山东省,2022,86026,693600,350000,387100
湖北省,2017,36357,376200,147300,184300
湖北省,2016,36354,360600,141700,174900
河北省,2020,86939,442000,239700,201400
湖南省,2020,56042,519900,190100,235100
广东省,2018,51451,516900,276400,334600
辽宁省,2017,35767,298600,115700,127400
广东省,2020,55900,564800,306000,374500
安徽省,2014,24824,252000,103700,111500
安徽省,2016,24385,281700,112700,126400
江西省,2018,36545,249500,87300,110900
北京市,2016,9773,117000,89400,98100
北京市,2017,9976,120600,94400,103500
上海市,2020,5897,152200,78400,97200
广东省,2014,48085,405800,216800,233500
青海省,2023,6950,45700,21600,23700
广东省,2015,48320,435700,228500,254100
新疆维吾尔自治区,2015,18798,150300,57300,63900
湖南省,2019,57230,506300,190500,240500
福建省,2021,28693,223800,111100,130200
宁夏回族自治区,2014,4255,32500,15000,15100
西藏自治区,2015,6814,14000,6200,3200
西藏自治区,2019,6940,17100,9300,6000
西藏自治区,2020,6939,18600,9500,6800
云南省,2018,24954,291200,99700,136900
重庆市,2019,21057,231800,83300,103100
河北省,2023,92825,534000,289800,269700
福建省,2018,27590,192500,91100,109300
湖南省,2014,61571,355500,133400,136200
黑龙江省,2020,20461,253300,96100,102300
广东省,2023,62819,628600,357900,450200
黑龙江省,2015,20752,212600,82700,81000
四川省,2019,83756,631800,221700,270500
河南省,2023,85044,777400,346600,383900
广东省,2016,49079,465100,243200,283800
宁夏回族自治区,2015,4288,33800,15900,16100
福建省,2017,27217,182400,84000,101200
内蒙古自治区,2018,24610,159000,73600,76400
江苏省,2017,32037,469200,217100,236900
湖北省,2015,36179,343100,136000,165100
陕西省,2019,35404,265800,108700,150400
吉林省,2021,25344,176500,87300,97800
江西省,2016,38272,209100,79200,95500
河北省,2014,78895,322900,157700,121800
重庆市,2017,19682,206400,68500,84900
甘肃省,2021,25759,183200,70600,91700
上海市,2021,6308,160400,84100,103900
重庆市,2018,20524,220100,76400,95100
宁夏回族自治区,2022,4607,41800,22700,28100
天津市,2020,5838,68300,49200,42700
陕西省,2017,35861,241300,93200,127000
河北省,2022,90194,485700,262300,238200
湖北省,2022,36782,450300,176800,217600
河北省,2016,78795,360500,177100,143400
广西壮族自治区,2022,34500,341700,138600,192900
湖南省,2023,57503,533900,219600,270500
内蒙古自治区,2014,23426,129000,62200,56700
云南省,2015,24181,237600,79600,93300
天津市,2017,5539,68400,41100,38200
安徽省,2015,24853,267400,107800,119300
河南省,2022,81694,752200,316300,353900
广西壮族自治区,2015,34439,214500,91600,113200
河南省,2020,74644,667200,276400,304300
西藏自治区,2018,6844,16800,8300,5600
青海省,2019,6513,41400,17400,18900
辽宁省,2021,33051,324500,132000,152700
广西壮族自治区,2014,34667,201600,86500,104000
青海省,2021,6408,42200,18800,21300
福建省,2016,27656,174800,79700,95600
山西省,2015,41002,183200,90200,83300
贵州省,2020,28880,276400,97500,131500
江西省,2023,40129,340700,134800,169400
西藏自治区,2022,6906,20000,11100,8100
黑龙江省,2018,20349,250100,89500,93100
吉林省,2014,19891,141000,63200,57400
天津市,2022,6282,68500,52600,48300
辽宁省,2015,35236,267000,104600,111000
上海市,2023,6514,175000,89100,111000
海南省,2023,6538,60900,31500,41200
吉林省,2017,20828,153700,70600,67100
湖北省,2021,36529,434000,169500,214600
海南省,2021,6277,61400,29700,38400
四川省,2022,74041,683900,258200,318300
海南省,2015,5046,38700,19000,24700
陕西省,2016,36598,225400,85700,116800
江西省,2020,36716,285800,104900,129300
重庆市,2023,23389,255600,102300,128100
内蒙古自治区,2021,24948,166600,84200,88900
浙江省,2020,34400,361300,217700,233100
云南省,2016,24234,253600,85900,106000
甘肃省,2015,27799,127700,49600,47800
山西省,2017,42490,197500,94300,96800
内蒙古自治区,2020,24549,162100,80600,83400
安徽省,2019,26435,347400,138400,163400
四川省,2016,79513,519200,185400,207600
宁夏回族自治区,2021,4571,41200,22500,27300
四川省,2017,80481,563500,194900,228500
新疆维吾尔自治区,2016,18825,156900,60300,67600
河北省,2017,80912,395000,191900,158400
海南省,2019,5417,49800,23900,32100
海南省,2020,6127,58500,27200,35200
吉林省,2019,22198,170300,79000,79300
辽宁省,2020,34131,314500,126200,142700
山西省,2021,41007,228900,113400,124300
福建省,2020,28105,216800,105500,122500
贵州省,2015,28712,196400,63400,76000
陕西省,2023,35133,306200,133300,169600
